Club Name,Category,Description,Faculty Coordinator,Contact Email,Meeting Day,Members,How to Join,Activities
CSI Student Chapter,Technical,Computer Society of India student chapter promoting technical skills,Dr. K. Rajasekhara Rao,csi@anits.org,Every Saturday,120,Fill form at CSE department office,"Coding competitions workshops hackathons guest lectures"
IEEE Student Branch,Technical,Institute of Electrical and Electronics Engineers student branch,Dr. P. Srinivasa Rao,ieee@anits.org,Every Friday,95,Apply at ECE department office,"Technical workshops paper presentations conferences"
CodeZen Club,Technical,Weekly coding competition club for all branches,Mr. T. Ravi Kumar,codezen@anits.org,Every Saturday,200,Register at CS Lab Block A,"Weekly contests algorithmic challenges competitive programming"
Robotics Club,Technical,Design and build robots for competitions and demonstrations,Dr. M. Srinivasa Rao,robotics@anits.org,Wednesday and Saturday,60,Interview at Innovation Lab,"Robot building competitions automation projects"
AI and ML Club,Technical,Artificial Intelligence and Machine Learning enthusiast group,Dr. K. Rajasekhara Rao,aiml@anits.org,Every Thursday,80,Register at CSE office,"ML workshops hackathons project exhibitions"
Web Development Club,Technical,Learn and build web applications and websites,Mr. T. Ravi Kumar,webdev@anits.org,Every Tuesday,90,Open registration at CSE office,"Web projects workshops freelancing guidance"
Drama Club,Cultural,Theatre and drama performances for college events,Mrs. S. Lakshmi,drama@anits.org,Every Monday,45,Audition at auditorium,"Stage plays street plays mono acting competitions"
Music Club,Cultural,Classical and western music performances and training,Dr. A. Hymavathi,music@anits.org,Every Wednesday,50,Audition at music room,"Vocal instrumental performances annual day college fests"
Dance Club,Cultural,Classical folk and western dance forms training,Mrs. P. Durga,dance@anits.org,Tuesday and Friday,65,Audition at dance studio,"Stage performances competitions cultural fests"
Fine Arts Club,Cultural,Painting sketching and visual arts activities,Mr. K. Suresh,arts@anits.org,Every Saturday,40,Open registration,"Painting exhibitions competitions greeting card making"
Photography Club,Cultural,Photography and videography skills development,Mr. V. Prasad,photo@anits.org,Every Sunday,55,Submit portfolio,"Photo walks exhibitions college event coverage"
Literary Club,Cultural,Reading writing and public speaking development,Dr. S. Sarada,literary@anits.org,Every Friday,35,Register at IT department,"Debates elocution essay writing book reviews"
NSS Unit 1,Social,National Service Scheme social work and community service,Dr. B. Rama Rao,nss1@anits.org,Every Sunday,150,Register at NSS office by August,"Blood donation camps village adoption tree plantation"
NSS Unit 2,Social,National Service Scheme second unit for social activities,Dr. G. Venkata Rao,nss2@anits.org,Every Sunday,140,Register at NSS office by August,"Health camps literacy drives swachh bharat activities"
Rotaract Club,Social,Rotary International youth wing for community service,Mr. K. Srinivas,rotaract@anits.org,Every Thursday,70,Apply at placement cell office,"Community projects fundraising leadership development"
Cricket Team,Sports,College cricket team for inter-college tournaments,Mr. R. Kishore,cricket@anits.org,Daily practice 5am,30,Trials at sports ground in July,"Inter-college tournaments practice matches"
Football Team,Sports,College football team for state level competitions,Mr. S. Naidu,football@anits.org,Daily practice 5am,22,Trials at sports ground in July,"Inter-college tournaments state competitions"
Basketball Team,Sports,College basketball team for university games,Mrs. T. Lakshmi,basketball@anits.org,Daily practice 6am,15,Trials at basketball court in July,"University games inter-college tournaments"
Entrepreneurship Cell,Technical,Support and guide student startup ideas and projects,Dr. V. Rajyalakshmi,ecell@anits.org,Every Friday,100,Open registration at admin office,"Startup competitions mentoring investor connects ideathon"
Environment Club,Social,Environmental awareness and green campus initiatives,Dr. A. Hymavathi,enviro@anits.org,Every Saturday,60,Open registration,"Tree plantation drives awareness campaigns clean campus"
